RC_10.out:Total time:   0m 1.9s
RC_11.out:Total time:   0m 7.2s
RC_12.out:Total time:   0m 0.3s
RC_13.out:Total time:   0m 3.1s
RC_14.out:Total time:   0m 19.6s
RC_15.out:Total time:   0m 0.1s
RC_16.out:Total time:   0m 0.7s
RC_17.out:Total time:   0m 0.0s
RC_18.out:Total time:   0m 0.2s
RC_19.out:Total time:   0m 0.7s
RC_1.out:Total time:   0m 0.0s
RC_20.out:Total time:   0m 2.5s
RC_21.out:Total time:   0m 3.8s
RC_22.out:Total time:   11m 46.1s
RC_23.out:Total time:   1616m 4.6s
RC_24.out:Total time:   24m 10.5s
RC_25.out:Total time:   0m 2.6s
RC_26.out:Total time:   0m 4.9s
RC_27.out:Total time:   107m 33.1s
RC_28.out:Total time:   0m 3.8s
RC_29.out:Total time:   0m 0.0s
RC_2.out:Total time:   0m 0.0s
RC_30.out:Total time:   3215m 15.8s
RC_31.out:Total time:   0m 3.8s
RC_32.out:Total time:   0m 0.7s
RC_33.out:Total time:   0m 0.2s
RC_34.out:Total time:   0m 1.3s
RC_35.out:Total time:   0m 4.0s
RC_36.out:Total time:   0m 3.4s
RC_37.out:Total time:   0m 16.4s
RC_38.out:Total time:   1m 7.4s
RC_39.out:Total time:   4m 25.3s
RC_3.out:Total time:   0m 0.0s
RC_40.out:Total time:   0m 1.4s
RC_41.out:Total time:   0m 5.3s
RC_42.out:Total time:   0m 5.0s
RC_43.out:Total time:   0m 23.9s
RC_44.out:Total time:   0m 35.7s
RC_45.out:Total time:   0m 36.2s
RC_46.out:Total time:   1m 22.8s
RC_47.out:Total time:   0m 1.3s
RC_48.out:Total time:   0m 48.4s
RC_49.out:Total time:   4m 51.4s
RC_4.out:Total time:   0m 0.2s
RC_50.out:Total time:   3m 19.2s
RC_51.out:Total time:   0m 52.5s
RC_52.out:Total time:   2m 30.5s
RC_53.out:Total time:   14m 57.7s
RC_54.out:Total time:   0m 0.6s
RC_55.out:Total time:   0m 2.7s
RC_56.out:Total time:   0m 2.5s
RC_57.out:Total time:   0m 17.5s
RC_58.out:Total time:   0m 17.2s
RC_59.out:Total time:   1m 24.1s
RC_5.out:Total time:   0m 7.7s
RC_60.out:Total time:   59m 54.6s
RC_61.out:Total time:   0m 2.1s
RC_62.out:Total time:   0m 2.5s
RC_63.out:Total time:   0m 20.2s
RC_64.out:Total time:   0m 22.8s
RC_65.out:Total time:   0m 16.9s
RC_66.out:Total time:   0m 16.3s
RC_67.out:Total time:   366m 19.4s
RC_68.out:Total time:   0m 13.9s
RC_69.out:Total time:   6m 7.3s
RC_6.out:Total time:   0m 0.0s
RC_70.out:Total time:   11m 12.1s
RC_71.out:Total time:   0m 7.9s
RC_72.out:Total time:   0m 8.0s
RC_73.out:Total time:   0m 59.5s
RC_74.out:Total time:   3m 17.0s
RC_75.out:Total time:   20m 48.9s
RC_76.out:Total time:   21m 36.5s
RC_7.out:Total time:   0m 0.1s
RC_8.out:Total time:   0m 0.5s
RC_9.out:Total time:   0m 0.5s
